Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LEDC7,0.1u,C_0402_1005Metric,162.125,-80.255,-90.0,top
LEDC8,0.1u,C_0402_1005Metric,181.175,-80.255,-90.0,top
LEDC9,0.1u,C_0402_1005Metric,200.225,-80.255,-90.0,top
LM1,BSS138,SOT-23,38.21,-85.9,270.0,top
LMR1,10k,R_0402_1005Metric,40.44,-86.89,90.0,top
LMR2,1k,R_0402_1005Metric,37.700001,-83.4475,180.0,top
LMR3,470,R_0402_1005Metric,37.7,-82.417499,180.0,top
MC1,100n,C_0402_1005Metric,108.425,-138.520001,90.0,top
MC10,100n,C_0402_1005Metric,92.03,-125.45,180.0,top
MC11,100n,C_0402_1005Metric,91.94,-132.425,180.0,top
MC12,10u,C_0402_1005Metric,91.95,-133.4,180.0,top
MC13,10n,C_0402_1005Metric,98.63,-136.795,-90.0,top
MC14,1u,C_0402_1005Metric,99.65,-136.795,-90.0,top
MC15,1u,C_0402_1005Metric,102.58,-138.46,90.0,top
MC8,100n,C_0402_1005Metric,103.175,-125.945,-90.0,top
MC9,100n,C_0402_1005Metric,102.185,-125.945,-90.0,top
MFB2,120R @ 100MHz,L_0805_2012Metric,101.105,-137.635,90.0,top
MP1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,73.45,-109.4,0.0,top
MP2,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,143.2,-106.4,0.0,top
MP3,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,219.2,-106.4,0.0,top
MPC1,100n,C_0402_1005Metric,67.9,-106.4,-90.0,top
MPC2,100n,C_0402_1005Metric,137.65,-103.4,-90.0,top
MPC3,100n,C_0402_1005Metric,213.65,-103.4,-90.0,top
PWRC1,1u,C_0805_2012Metric,67.15,-70.5,-90.0,top
PWRC2,1u,C_0805_2012Metric,77.25,-70.5,-90.0,top
PWRF1,1.1A,Fuse_1206_3216Metric,62.25,-69.9,0.0,top
PWRL1,10u,L_1210_3225Metric,74.25,-70.5,90.0,top
Q1,2N7002,SOT-23,105.975,-135.4,270.0,top
Q2,2N7002,SOT-23,109.5,-135.4,90.0,top
R2,1.5k,R_0402_1005Metric,120.290001,-126.062499,90.0,top
R3,470R,R_0402_1005Metric,39.06,-137.905,180.0,top
R4,10k,R_0402_1005Metric,104.875,-138.919998,0.0,top
R5,10k,R_0402_1005Metric,106.288693,-131.789912,135.0,top
R6,100,R_0402_1005Metric,109.5,-138.540001,-90.0,top
R7,1k,R_0402_1005Metric,112.187555,-130.417165,-135.0,top
R8,10k,R_0402_1005Metric,112.937087,-131.187912,-135.0,top
R9,100k,R_0402_1005Metric,104.880002,-137.869998,0.0,top
SD1,LM3670MF,TSOT-23-5,70.25,-70.5,180.0,top
U1,STM32F411CEU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,97.25,-129.1075,0.0,top
USB1,USB-C 2.0 Receptacle,USB_C,53.25,-70.36,180.0,top
USBD1,PRTR5V0U2X,SOT-143,53.05,-78.9,180.0,top
USBR1,5.1k,R_0402_1005Metric,50.95,-75.395001,-90.0,top
USBR2,5.1k,R_0402_1005Metric,55.075,-75.4,-90.0,top
